,dino,brightness_ranking,contrast_ranking,details_ranking,colours_ranking,quality_ranking,brightness_rating,contrast_rating,details_rating,colours_rating,quality_rating
0,durand02,tumblin99,clip,clip,tumblin99,clip,reinhard02,reinhard02,schlick94,reinhard02,clip
1,ward94,clip,tumblin99,tumblin99,clip,tumblin99,schlick94,clip,reinhard02,clip,tumblin99
2,schlick94,ward97,ward97,ward97,ward97,schlick94,clip,durand02,clip,schlick94,schlick94
3,tumblin99,lcis99,reinhard02,schlick94,schlick94,ward97,tumblin99,schlick94,ward97,tumblin99,durand02
4,reinhard02,schlick94,schlick94,reinhard02,reinhard02,ward94,ward97,ward94,lcis99,ward94,ward94
5,clip,reinhard02,lcis99,lcis99,lcis99,reinhard02,durand02,ward97,ashikmin02,durand02,reinhard02
6,drago03,ashikmin02,ashikmin02,choudhury03,choudhury03,lcis99,lcis99,tumblin99,choudhury03,ward97,ward97
7,ward97,choudhury03,ward94,ashikmin02,ashikmin02,durand02,ward94,lcis99,tumblin99,lcis99,lcis99
8,lcis99,pattanaik02,durand02,drago03,ward94,drago03,ashikmin02,drago03,ward94,ashikmin02,choudhury03
9,choudhury03,chiu93,choudhury03,durand02,durand02,choudhury03,drago03,choudhury03,durand02,choudhury03,drago03
10,ashikhmin02,ward94,pattanaik02,ward94,drago03,ashikmin02,choudhury03,ashikmin02,drago03,drago03,ashikmin02
11,fattal02,drago03,drago03,pattanaik02,fattal02,fattal02,fattal02,fattal02,fattal02,chiu93,pattanaik02
12,pattanaik02,durand02,chiu93,chiu93,pattanaik02,pattanaik02,chiu93,chiu93,chiu93,pattanaik02,fattal02
13,chiu93,fattal02,fattal02,fattal02,chiu93,chiu93,pattanaik02,pattanaik02,pattanaik02,fattal02,chiu93
